Aktivitetstyp;Datum;Favorit;Namn;Distans;Kalorier;Tid;Medelpuls;Maxpuls;Aerobisk TE;Medellopkadens;Maximal lopkadens;Medeltempo;Basta tempo;Total stigning;Totalt nedfor;Medelsteglangd;Medelvarde for vertikal kvot;Medelvarde for vertikal rorelse;Medeltid for markkontakt;Training Stress ScoreÂ®;Medelkraft;Maxkraft;Intensitet;Flode;Medel-Swolf;Medelartagstempo;Totalt antal repetitioner;Totalt antal set;Dyktid;Minsta temperatur;Ytintervall;Dekompression;Basta varvtid;Antal varv;Maximal temperatur;Genomsnittlig andning;Minsta andningshastighet;Maximal andningshastighet;Stressandring;Start for stress;Slut for stress;Medestress;Maxbelastning;Fardtid;Total tid;Min. hojd;Max. hojd
Lopning;1.4.2024;FALSE;Vantaa - Pitka (2x5km);7,07;409;0:45:20;158;179;3,8;175;196;6:25;5:34;53;58;0,89;0;0;0;0;0;0;0;0;0;0;0;0;0:00;17;0:00;Nej;00:01.49;10;27;33;20;40;0;0;0;0;0;0:45:11;0:45:26;23;61
Padel;30.3.2024;FALSE;Padel;0,29;763;1:40:05;154;181;4,3;13;248;0,2;11,6;0;0;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;01:40:05.29;1;27;32;14;41;0;0;0;0;0;0:06:00;1:40:05;0;0
Padel;29.3.2024;FALSE;Padel;0,26;274;1:31:07;97;113;0,4;12;244;0,2;10,5;0;0;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0:00;21;0:00;Nej;01:31:07.34;1;29;0;0;0;0;0;0;0;0;0:05:17;1:31:07;0;0
Lopning;28.3.2024;FALSE;Vantaa - 3x2km @ Tempo;10,4;593;1:01:21;164;190;5;179;192;5:54;4:47;91;86;0,94;0;0;0;0;0;0;0;0;0;0;0;0;0:00;12;0:00;Nej;01:09.12;13;22;37;27;44;0;0;0;0;0;1:01:16;1:04:11;32;71
Lopning;26.3.2024;FALSE;Vantaa - 8x400m @ Z5;10,04;446;1:01:56;108;184;3,3;174;189;6:10;4:19;93;100;0,93;0;0;0;0;0;0;0;0;0;0;0;0;0:00;8;0:00;Nej;01:30.00;21;24;33;17;43;0;0;0;0;0;1:01:39;1:02:10;34;70
Lopning;24.3.2024;FALSE;Nurmijarvi Lopning;7,01;396;0:41:45;162;191;4,1;176;186;5:57;4:54;72;71;0,95;0;0;0;0;0;0;0;0;0;0;0;0;0:00;11;0:00;Nej;00:05.03;8;27;36;22;43;0;0;0;0;0;0:41:36;0:42:08;37;67
Padel;23.3.2024;FALSE;Padel;0,08;262;1:19:52;101;121;0,8;9;183;0,1;8;0;0;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;01:19:52.09;1;25;0;0;0;0;0;0;0;0;0:01:52;1:19:52;0;0
Lopning;19.3.2024;FALSE;Helsinki - 5x800m @ Z5;5,34;309;0:32:05;165;192;3,9;163;196;6:00;4:30;43;39;1,07;0;0;0;0;0;0;0;0;0;0;0;0;0:00;7;0:00;Nej;00:02.97;9;30;37;25;44;0;0;0;0;0;0:31:50;0:34:10;6;22
Styrketraning;5.3.2024;FALSE;Voima;0;92;0:31:36;95;121;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;9;0:00;27;0:00;Nej;31:35.98;1;27;20;13;26;0;0;0;0;0;00:08:22.3;0:31:36;0;0
Lopband;5.3.2024;FALSE;3x2,5km @ aerk.;4,47;213;0:32:08;131;171;2,6;153;183;7:11;5:21;0;0;0,88;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;02:46.17;5;27;29;18;38;0;0;0;0;0;0:30:46;0:32:08;0;0
Padel;4.3.2024;FALSE;Padel;0,22;546;1:44:17;126;166;2,6;13;244;0,1;12,3;0;0;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;01:44:16.81;1;26;25;12;35;0;0;0;0;0;0:02:48;1:44:17;0;0
Lopning;3.3.2024;FALSE;Lopning;14;936;1:20:36;131;176;0;0;0;5:45;4:27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00;0;0:00;Nej;01:20:35.100;1;0;0;0;0;0;0;0;0;0;0:00:00;1:20:36;0;0
Styrketraning;29.2.2024;FALSE;Voima;0;398;2:04:45;101;142;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;7;0:00;25;0:00;Nej;02:04:44.98;1;31;24;18;29;0;0;0;0;0;00:03:48.3;2:04:45;0;0
Lopband;29.2.2024;FALSE;Tonnin vetoja;8,72;453;0:57:59;149;184;3,5;161;187;6:39;4:47;0;0;0,92;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;00:18.09;16;27;33;17;42;0;0;0;0;0;0:56:19;0:57:59;0;0
Padel;27.2.2024;FALSE;Padel;0,15;737;1:45:48;148;180;3,6;12;231;0,1;9;0;0;0,12;0;0;0;0;0;0;0;0;0;0;0;0;0:00;22;0:00;Nej;01:45:48.01;1;26;29;13;40;0;0;0;0;0;0:03:20;1:45:48;0;0
Andningsterapi;27.2.2024;FALSE;Rentout. ja keskitt.;0;0;00:05:44.2;67;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00;29;0:00;Nej;00:02.21;105;29;4;4;4;-5;24;19;22;40;0:00:00;00:05:44.2;0;0
Lopband;27.2.2024;FALSE;Aerobinen kynnys juoksu;9,7;506;1:06:27;149;176;3,5;154;240;6:51;4:09;0;0;0,89;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;02:41.07;8;29;31;17;39;0;0;0;0;0;0:59:53;1:06:27;0;0
Padel;26.2.2024;FALSE;Padel;0,17;493;1:41:58;119;180;3;10;235;0,1;8;0;0;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0:00;22;0:00;Nej;00:01.06;2;27;28;12;40;0;0;0;0;0;0:02:05;1:41:59;0;0
Padel;23.2.2024;FALSE;Padel;0,08;507;1:35:38;123;167;2,8;8;210;0,1;8,5;0;0;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0:00;20;0:00;Nej;01:35:38.14;1;28;28;18;37;0;0;0;0;0;0:02:16;1:35:38;0;0
Lopband;22.2.2024;FALSE;Nousevatehoinen pitka;14,03;631;1:30:50;144;179;3,3;159;240;6:29;4:47;0;0;0,96;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;00:05.70;10;26;30;17;38;0;0;0;0;0;1:25:54;1:32:30;0;0
Lopband;22.2.2024;FALSE;Tonnin vetoja;7,92;377;0:52:25;147;187;3,3;158;185;6:37;4:42;0;0;0,94;0;0;0;0;0;0;0;0;0;0;0;0;0:00;22;0:00;Nej;00:01.20;16;26;31;19;43;0;0;0;0;0;0:50:28;0:52:59;0;0
Styrketraning;20.2.2024;FALSE;Voima;0;196;0:50:24;110;154;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;14;0:00;22;0:00;Nej;50:23.89;1;29;21;11;35;0;0;0;0;0;0:20:02;0:50:24;0;0
Lopband;20.2.2024;FALSE;Lopband;5,36;347;0:43:35;151;177;3,2;144;239;8:08;4:53;0;0;0,84;0;0;0;0;0;0;0;0;0;0;0;0;0:00;24;0:00;Nej;01:25.71;11;27;32;20;39;0;0;0;0;0;0:36:20;0:43:35;0;0
Lopband;20.2.2024;FALSE;Lopband;1,33;56;0:10:05;119;143;0,7;148;175;7:37;5:34;0;0;0,89;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;10:05.47;1;27;23;18;34;0;0;0;0;0;0:09:42;0:10:05;0;0
Padel;19.2.2024;FALSE;Padel;0,13;249;1:24:51;95;109;0,3;11;202;0,1;7,8;0;0;0,14;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;01:24:50.69;1;27;0;0;0;0;0;0;0;0;0:03:05;1:24:51;0;0
Langdskidakning fristil;18.2.2024;FALSE;Espoo Langdskidakning fristil;4,31;295;0:38:36;149;184;3;0;0;6,7;35,4;102;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0:00;8;0:00;Nej;03:07.12;5;25;31;13;41;0;0;0;0;0;0:27:08;0:39:08;31;60
Lopband;15.2.2024;FALSE;VK;5,47;333;0:39:55;154;193;3,5;148;185;7:18;4:46;0;0;0,87;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;00:01.98;14;29;0;0;0;0;0;0;0;0;0:35:11;0:39:55;0;0
Lopband;15.2.2024;FALSE;Lopband;1,05;39;00:08:24.5;105;144;0,7;145;188;8:01;5:23;0;0;0,84;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;00:09.25;3;26;0;0;0;0;0;0;0;0;00:08:01.3;00:08:46.7;0;0
Styrketraning;14.2.2024;FALSE;Voima;0;76;0:19:25;106;141;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;10;0:00;27;0:00;Nej;19:25.41;1;28;21;16;26;0;0;0;0;0;00:06:03.7;0:19:25;0;0
Lopband;14.2.2024;FALSE;Aerobinen kynnys juoksu;8,8;396;0:57:00;140;166;3,1;162;187;6:29;5:06;0;0;0,94;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;00:05.21;8;26;30;17;40;0;0;0;0;0;0:55:29;0:57:00;0;0
Lopband;12.2.2024;FALSE;Nopeus;6,36;311;0:51:21;132;169;2,7;140;280;8:04;4:47;0;0;0,87;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;00:04.87;13;27;29;16;39;0;0;0;0;0;0:43:37;0:52:17;0;0
Lopband;11.2.2024;FALSE;Lopband;3,71;197;0:32:13;128;142;2;138;181;8:41;5:31;0;0;0,84;0;0;0;0;0;0;0;0;0;0;0;0;0:00;24;0:00;Nej;32:13.24;1;26;27;17;34;0;0;0;0;0;0:28:24;0:32:13;0;0
Padel;11.2.2024;FALSE;Padel;0,13;757;1:23:06;165;190;4,7;9;196;0,1;9,1;0;0;0,18;0;0;0;0;0;0;0;0;0;0;0;0;0:00;19;0:00;Nej;01:23:06.43;1;21;33;20;42;0;0;0;0;0;0:02:30;1:23:06;0;0
Lopband;9.2.2024;FALSE;Aerobinen kynnys juoksu;8,31;484;0:55:15;158;179;4,2;159;231;6:39;4:54;0;0;0,91;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;00:02.51;9;28;0;0;0;0;0;0;0;0;0:49:50;0:57:32;0;0
Styrketraning;8.2.2024;FALSE;Voima;0;103;0:18:23;122;147;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;11;0:00;27;0:00;Nej;18:23.04;1;28;25;19;34;0;0;0;0;0;00:07:21.0;0:18:23;0;0
Lopband;8.2.2024;FALSE;VK;5,8;336;0:41:37;154;192;3,9;152;187;7:10;4:41;0;0;0,78;0;0;0;0;0;0;0;0;0;0;0;0;0:00;22;0:00;Nej;00:04.72;13;26;31;16;43;0;0;0;0;0;0:38:13;0:48:24;0;0
Padel;7.2.2024;FALSE;Padel;0,09;636;1:30:44;150;192;4,2;8;244;0,1;6,9;0;0;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0:00;19;0:00;Nej;01:30:44.02;1;24;30;11;41;0;0;0;0;0;0:01:43;1:30:44;0;0
Lopning;6.2.2024;FALSE;Nopeus;5,87;357;0:48:53;145;181;3,3;148;185;8:20;5:21;2;1;0,79;0;0;0;0;0;0;0;0;0;0;0;0;0:00;23;0:00;Nej;00:08.56;14;28;30;17;40;0;0;0;0;0;0:44:02;0:48:54;18;21
Lopband;29.1.2024;FALSE;Lopband;9,41;511;1:00:08;150;166;3,8;173;183;6:23;4:50;0;0;1,07;0;0;0;0;0;0;0;0;0;0;0;0;0:00;25;0:00;Nej;01:00:08.48;1;27;31;19;40;0;0;0;0;0;1:00:08;1:00:08;0;0
Padel;27.1.2024;FALSE;Padel;0,14;639;1:23:31;154;186;4,2;10;209;0,1;7;0;0;0,17;0;0;0;0;0;0;0;0;0;0;0;0;0:00;22;0:00;Nej;01:23:31.32;1;25;31;19;41;0;0;0;0;0;0:02:01;1:23:31;0;0